INFO  - 2020-09-17 07:04:45.109; utils.log; ----------------------START TEST - Doctor Module -----------------------------
INFO  - 2020-09-17 07:04:45.856; utils.utility; Pleaase enter Pin 
INFO  - 2020-09-17 07:04:59.854; utils.utility; Sihaty Pin Text verified  
INFO  - 2020-09-17 07:05:05.425; utils.utility; Pin entered  
INFO  - 2020-09-17 07:05:07.703; utils.log; Doctors Menu Click
INFO  - 2020-09-17 07:05:10.170; utils.log; Sihathy Logo 
INFO  - 2020-09-17 07:05:10.655; utils.log; DoctorTitlePage Confirmed 
INFO  - 2020-09-17 07:05:12.275; utils.log; Specialty Confirmed 
INFO  - 2020-09-17 07:05:13.412; utils.log;  Doctor Expertise is 
INFO  - 2020-09-17 07:05:13.412; utils.log; Surgery
INFO  - 2020-09-17 07:05:15.822; utils.log;  Click on First Doctor 
INFO  - 2020-09-17 07:05:17.228; utils.log; Verifying General Details 
INFO  - 2020-09-17 07:05:17.570; utils.log; Dr Name is 
INFO  - 2020-09-17 07:05:17.570; utils.log; Dr. Adeyinka Josephine Alayo
INFO  - 2020-09-17 07:05:19.914; utils.log; Dr Photo Displayed
INFO  - 2020-09-17 07:05:20.311; utils.log; Language Available
INFO  - 2020-09-17 07:05:20.687; utils.log; Language is 
INFO  - 2020-09-17 07:05:20.688; utils.log; English, French
INFO  - 2020-09-17 07:05:23.077; utils.log; Experience Available
INFO  - 2020-09-17 07:05:23.590; utils.log; Experience is 
INFO  - 2020-09-17 07:05:23.590; utils.log; 10 Years
INFO  - 2020-09-17 07:05:25.929; utils.log; License number Available
INFO  - 2020-09-17 07:05:26.432; utils.log; Licence is 
INFO  - 2020-09-17 07:05:26.432; utils.log; e34433
INFO  - 2020-09-17 07:05:28.869; utils.log; Initial consultation
INFO  - 2020-09-17 07:05:29.405; utils.log; Initial consultation is 
INFO  - 2020-09-17 07:05:29.406; utils.log; 0.0 KWD / 5 mins
INFO  - 2020-09-17 07:05:31.828; utils.log; Follow Up  consultation
INFO  - 2020-09-17 07:05:32.280; utils.log; Follow up  consultation is 
INFO  - 2020-09-17 07:05:32.280; utils.log; 10.0 KWD / 5 mins
INFO  - 2020-09-17 07:05:36.045; utils.log; Scolled down 
INFO  - 2020-09-17 07:05:37.502; utils.log; Background Information Available
INFO  - 2020-09-17 07:05:37.899; utils.log; University Available
