INFO  - 2021-01-11 20:12:23.599; utils.log; -------------------------- ---START TEST - APP Version ------ ---------------------------------------------------
INFO  - 2021-01-11 20:13:00.821; utils.log; -------------------------- ---START TEST - APP Version ------ ---------------------------------------------------
INFO  - 2021-01-11 20:14:38.174; utils.log; -------------------------- ---START TEST - APP Version ------ ---------------------------------------------------
INFO  - 2021-01-11 20:14:38.661; utils.utility; Pleaase enter Pin 
INFO  - 2021-01-11 20:15:04.015; utils.log; -----------------------------------------END TEST - APP VERSION --------------------------------------------------------------
INFO  - 2021-01-11 20:17:23.187; utils.log; -------------------------- ---START TEST - APP Version ------ ---------------------------------------------------
INFO  - 2021-01-11 20:17:23.844; utils.utility; Pleaase enter Pin 
INFO  - 2021-01-11 20:20:03.913; utils.log; -------------------------- ---START TEST - APP Version ------ ---------------------------------------------------
INFO  - 2021-01-11 20:20:04.910; utils.utility; Pleaase enter Pin 
INFO  - 2021-01-20 12:05:35.500; utils.log; -------------------------- ---START TEST - APP Version ------ ---------------------------------------------------
INFO  - 2021-01-20 12:05:36.225; utils.utility; Pleaase enter Pin 
